Year,State,Unemployment
2004,MS,80677
2008,MS,86928
2012,MS,117447
2016,MS,75956
2020,MS,72217
1976,MT,19669
1980,MT,23516
1984,MT,30280
1988,MT,26775
1992,MT,28094
1996,MT,24890
2000,MT,22675
2004,MT,21564
2008,MT,24214
2012,MT,29407
2016,MT,22501
2020,MT,19826
1976,NC,161671
1980,NC,183374
1984,NC,199851
1988,NC,123209
1992,NC,224957
1996,NC,168683
2000,NC,155054
2004,NC,251375
2008,NC,284529
2012,NC,448468
2016,NC,246790
2020,NC,179605
1976,ND,10569
1980,ND,14846
1984,ND,17314
1988,ND,15211
1992,ND,14505
1996,ND,10897
2000,ND,10100
2004,ND,11912
2008,ND,11549
2012,ND,11629
2016,ND,12772
2020,ND,9148
1976,NE,22609
1980,NE,29070
1984,NE,35518
1988,NE,28081
1992,NE,24178
1996,NE,24580
2000,NE,26289
2004,NE,37837
2008,NE,32225
2012,NE,39443
2016,NE,31174
2020,NE,30755
1976,NH,25638
1980,NH,21111
1984,NH,21876
1988,NH,14074
1992,NH,45111
1996,NH,23827
2000,NH,18256
2004,NH,27249
2008,NH,27966
2012,NH,40372
2016,NH,21594
2020,NH,19904
1976,NJ,345208
1980,NJ,257059
1984,NJ,238207
1988,NJ,149175
1992,NJ,345133
1996,NJ,256429
2000,NJ,156603
2004,NJ,213917
2008,NJ,245164
2012,NJ,429492
2016,NJ,221925
2020,NJ,167403
1976,NM,42586
1980,NM,42918
1984,NM,48492
1988,NM,51865
1992,NM,53956
1996,NM,60985
2000,NM,42593
2004,NM,49445
2008,NM,40267
2012,NM,64792
2016,NM,63908
2020,NM,49446
1976,NV,28977
1980,NV,27331
1984,NV,38293
1988,NV,30385
1992,NV,49636
1996,NV,45223
2000,NV,44112
2004,NV,52425
2008,NV,94523
2012,NV,158797
2016,NV,82029
2020,NV,58633
1976,NY,783772
1980,NY,594201
1984,NY,586117
1988,NY,362433
1992,NY,759924
1996,NY,549741
2000,NY,412323
2004,NY,542319
2008,NY,521515
2012,NY,828140
2016,NY,464854
2020,NY,359918
1976,OH,367525
1980,OH,422510
1984,OH,483695
1988,OH,320577
1992,OH,406762
1996,OH,282996
2000,OH,237468
2004,OH,365612
2008,OH,396179
2012,OH,422948
2016,OH,291383
2020,OH,267554
1976,OK,66640
1980,OK,56450
1984,OK,105088
1988,OK,96391
1992,OK,89687
1996,OK,63469
2000,OK,49749
2004,OK,79608
2008,OK,62990
2012,OK,91412
2016,OK,84963
2020,OK,56894
1976,OR,101616
1980,OR,108655
1984,OR,124087
1988,OR,81883
1992,OR,113275
1996,OR,95296
2000,OR,94396
2004,OR,135288
2008,OR,122370
2012,OR,173202
2016,OR,96966
2020,OR,71746
1976,PA,411658
1980,PA,443146
1984,PA,490350
1988,PA,296048
1992,PA,439540
1996,PA,328708
2000,PA,257901
2004,PA,333602
2008,PA,344820
2012,PA,493833
2016,PA,344765
2020,PA,315155
1976,RI,35293
1980,RI,34145
1984,RI,25946
1988,RI,15244
1992,RI,47644
1996,RI,27023
2000,RI,21748
2004,RI,29168
2008,RI,43170
2012,RI,57334
2016,RI,28914
2020,RI,21243
1976,SC,91110
1980,SC,93888
1984,SC,103891
1988,SC,76920
1992,SC,121276
1996,SC,106963
2000,SC,73264
2004,SC,151856
2008,SC,158001
2012,SC,197457
2016,SC,112176
2020,SC,62138
1976,SD,10293
1980,SD,15668
1984,SD,14925
1988,SD,14639
1992,SD,12503
1996,SD,12812
2000,SD,10358
2004,SD,15338
2008,SD,13617
2012,SD,18123
2016,SD,13738
2020,SD,13462
1976,TN,113403
1980,TN,149866
1984,TN,196550
1988,TN,135041
1992,TN,159121
1996,TN,142621
2000,TN,110351
2004,TN,154925
2008,TN,199791
2012,TN,246786
2016,TN,149321
2020,TN,124263
1976,TX,333030
1980,TX,354182
1984,TX,485059
1988,TX,620092
1992,TX,691654
1996,TX,559597
2000,TX,455776
2004,TX,660426
2008,TX,570078
2012,TX,845635
2016,TX,620479
2020,TX,505056
1976,UT,29441
1980,UT,39615
1984,UT,46532
1988,UT,37666
1992,UT,42887
1996,UT,35090
2000,UT,38160
2004,UT,61631
2008,UT,46293
2012,UT,64395
2016,UT,50285
2020,UT,39910
1976,VA,137594
1980,VA,131236
1984,VA,142374
1988,VA,120348
1992,VA,208330
