Year,State,TotalVotes,DemocratVotes,DemocratElectoralVotes,RepublicanVotes,RepublicanElectoralVotes
1996,Utah,665629,221633,0,361911,5
2000,Utah,770754,515096,5,203053,0
2004,Utah,927844,663742,5,241199,0
2008,Utah,952370,327670,0,596030,5
2012,Utah,1017440,251813,0,740600,6
2016,Utah,1131430,310676,0,515231,6
2020,Utah,1488289,560282,0,865140,6
1976,Vermont,187765,80954,0,102085,3
1980,Vermont,213299,94628,3,81952,0
1984,Vermont,234561,135865,3,95730,0
1988,Vermont,243328,124331,3,115775,0
1992,Vermont,289701,133592,3,88122,0
1996,Vermont,258449,137894,3,80352,0
2000,Vermont,294308,119775,0,149022,3
2004,Vermont,312309,121180,0,184067,3
2008,Vermont,325046,219262,3,98974,0
2012,Vermont,299290,199239,3,92698,0
2016,Vermont,315067,178573,3,95369,0
2020,Vermont,367428,242820,3,112704,0
1976,Virginia,1697094,813896,0,836554,12
1980,Virginia,1866032,989609,12,752174,0
1984,Virginia,2146635,1337078,12,796250,0
1988,Virginia,2191609,1309162,12,859799,0
1992,Virginia,2558665,1038650,0,1150517,13
1996,Virginia,2416642,1091060,0,1138350,13
2000,Virginia,2739447,1437490,13,1217290,0
2004,Virginia,3198367,1716959,13,1454742,0
2008,Virginia,3723260,1959532,13,1725005,0
2012,Virginia,3854490,1971820,13,1822522,0
2016,Virginia,3982752,1981473,13,1769443,0
2020,Virginia,4460524,2413568,13,1962430,0
1976,Washington,1555534,717323,0,777732,8
1980,Washington,1742394,865244,9,650193,0
1984,Washington,1883910,1051670,10,807352,0
1988,Washington,1865253,903835,0,933516,10
1992,Washington,2288230,993037,11,731234,0
1996,Washington,2253837,1123323,11,840712,0
2000,Washington,2487433,1108864,0,1247652,11
2004,Washington,2859084,1304894,0,1510201,11
2008,Washington,3036878,1750848,11,1229216,0
2012,Washington,3125516,1755396,12,1290670,0
2016,Washington,3209214,1742718,12,1221747,0
2020,Washington,4087631,2369612,12,1584651,0
1976,West Virginia,750964,435914,6,314760,0
1980,West Virginia,737715,334206,0,367462,6
1984,West Virginia,735742,405483,6,328125,0
1988,West Virginia,653311,310065,0,341016,5
1992,West Virginia,683762,331001,5,241974,0
1996,West Virginia,636459,327812,5,233946,0
2000,West Virginia,648124,336475,5,295497,0
2004,West Virginia,755887,423778,5,326541,0
2008,West Virginia,713362,303857,0,397466,5
2012,West Virginia,670438,238269,0,417655,5
2016,West Virginia,713051,188794,0,489371,5
2020,West Virginia,794652,235984,0,545382,5
1976,Wisconsin,2104175,1040232,11,1004987,0
1980,Wisconsin,2273221,1088845,11,981584,0
1984,Wisconsin,2211689,1198584,11,995740,0
1988,Wisconsin,2191608,1047499,0,1126794,11
1992,Wisconsin,2531114,1041066,11,930855,0
1996,Wisconsin,2196169,1071971,11,845029,0
2000,Wisconsin,2598607,1237279,0,1242987,11
2004,Wisconsin,2997007,1478120,0,1489504,10
2008,Wisconsin,2983417,1677211,10,1262393,0
2012,Wisconsin,3071434,1620985,10,1410966,0
2016,Wisconsin,2976150,1382536,0,1405284,10
2020,Wisconsin,3298041,1630866,10,1610184,0
1976,Wyoming,156343,62239,0,92717,3
1980,Wyoming,176713,110700,3,49427,0
1984,Wyoming,188968,133241,3,53370,0
