Year,State,TotalVotes,DemocratVotes,DemocratElectoralVotes,RepublicanVotes,RepublicanElectoralVotes,Income,Population,Unemployment
1992,SC,1202527,479514,0,577507,8,17316,3600000,121276
1996,SC,1151689,506283,0,573458,8,20755,3738000,106963
2000,SC,1382717,785937,8,565561,0,25133,4024000,73264
2004,SC,1617730,937974,8,661699,0,27986,4210000,151856
2008,SC,1920969,862449,0,1034896,8,33234,4528000,158001
2012,SC,1964118,865941,0,1071645,9,35852,4719000,197457
2016,SC,2103027,855373,0,1155389,9,40744,4963000,112176
2020,SC,2513329,1091541,0,1385103,9,48021,5130000,62138
1976,SD,300678,147068,0,151505,4,5726,686000,10293
1980,SD,327703,198343,4,103855,0,8269,690000,15668
1984,SD,317867,200267,3,116113,0,11864,697000,14925
1988,SD,312991,165415,3,145560,0,13962,698000,14639
1992,SD,336254,124888,0,136718,3,18156,708000,12503
1996,SD,323826,139333,0,150543,3,22157,730000,12812
2000,SD,316269,190700,3,118804,0,26825,755000,10358
2004,SD,388215,232584,3,149244,0,32025,770000,15338
2008,SD,381975,170924,0,203054,3,41168,799000,13617
2012,SD,363815,145039,0,210610,3,45384,833000,18123
2016,SD,370047,117442,0,227701,3,49018,863000,13738
2020,SD,422609,150471,0,261043,3,59281,887000,13462
1976,TN,1476345,825879,10,633969,0,5664,4346000,113403
1980,TN,1617616,787761,10,783051,0,8277,4600000,149866
1984,TN,1711994,990212,11,711714,0,11411,4686000,196550
1988,TN,1636250,947233,11,679794,0,14857,4822000,135041
1992,TN,1982638,933521,11,841300,0,18625,5013000,159121
1996,TN,1894105,909146,11,863530,0,22301,5313000,142621
2000,TN,2076181,1061949,11,981720,0,27066,5703000,110351
2004,TN,2437319,1384375,11,1036477,0,30472,5910000,154925
2008,TN,2599749,1087437,0,1479178,11,35059,6247000,199791
2012,TN,2458577,960709,0,1462330,11,39418,6455000,246786
2016,TN,2508027,870695,0,1522925,11,43637,6651000,149321
2020,TN,3053851,1143711,0,1852475,11,51046,6920000,124263
1976,TX,4071884,2082319,26,1953300,0,6528,12904000,333030
1980,TX,4541636,2510705,26,1881147,0,9983,14338000,354182
1984,TX,5397571,3433428,29,1949276,0,13546,16007000,485059
1988,TX,5427410,3036829,29,2352748,0,15494,16667000,620092
1992,TX,6154018,2281815,0,2496071,32,18956,17650000,691654
1996,TX,5611644,2459683,0,2736167,32,22397,19006000,559597
2000,TX,6407637,3799639,32,2433746,0,28383,20944000,455776
2004,TX,7410765,4526917,34,2832704,0,31195,22394000,660426
2008,TX,8077795,3528633,0,4479328,34,39946,24309000,570078
2012,TX,7993851,3308124,0,4569843,38,44193,26084000,845635
2016,TX,8969226,3877868,0,4685047,38,46445,27914000,620479
2020,TX,11315056,5259126,0,5890347,38,55129,29217000,505056
1976,UT,541198,182110,0,337908,4,5866,1274000,29441
1980,UT,604222,439687,4,124266,0,8366,1472000,39615
1984,UT,629656,469105,5,155369,0,10984,1622000,46532
1988,UT,647008,428442,5,207343,0,13218,1689000,37666
1992,UT,743999,183429,0,322632,5,16401,1821000,42887
1996,UT,665629,221633,0,361911,5,20183,2022000,35090
2000,UT,770754,515096,5,203053,0,24260,2244000,38160
2004,UT,927844,663742,5,241199,0,27018,2401000,61631
2008,UT,952370,327670,0,596030,5,33941,2663000,46293
2012,UT,1017440,251813,0,740600,6,36085,2854000,64395
2016,UT,1131430,310676,0,515231,6,42008,3044000,50285
2020,UT,1488289,560282,0,865140,6,52204,3281000,39910
1976,VA,1697094,813896,0,836554,12,6969,5121000,137594
1980,VA,1866032,989609,12,752174,0,10567,5368000,131236
1984,VA,2146635,1337078,12,796250,0,14642,5643000,142374
1988,VA,2191609,1309162,12,859799,0,18870,6036000,120348
1992,VA,2558665,1038650,0,1150517,13,22398,6383000,208330
1996,VA,2416642,1091060,0,1138350,13,25973,6665000,149150
2000,VA,2739447,1437490,13,1217290,0,32715,7105000,82171
2004,VA,3198367,1716959,13,1454742,0,38139,7475000,155746
2008,VA,3723260,1959532,13,1725005,0,45514,7833000,176846
2012,VA,3854490,1971820,13,1822522,0,49366,8187000,250711
2016,VA,3982752,1981473,13,1769443,0,53439,8417000,169912
2020,VA,4460524,2413568,13,1962430,0,61958,8632000,109989
1976,VT,187765,80954,0,102085,3,5928,484000,18026
1980,VT,213299,94628,3,81952,0,8790,512000,14793
1984,VT,234561,135865,3,95730,0,12335,526000,13273
1988,VT,243328,124331,3,115775,0,16328,549000,9021
1992,VT,289701,133592,3,88122,0,19627,570000,19430
1996,VT,258449,137894,3,80352,0,22883,586000,13951
2000,VT,294308,119775,0,149022,3,29014,609000,9414
2004,VT,312309,121180,0,184067,3,34087,619000,12780
2008,VT,325046,219262,3,98974,0,41022,624000,16116
2012,VT,299290,199239,3,92698,0,45588,626000,17022
2016,VT,315067,178573,3,95369,0,50572,624000,10834
2020,VT,367428,242820,3,112704,0,59187,642000,8464
1976,WA,1555534,717323,0,777732,8,7424,3693000,142123
1980,WA,1742394,865244,9,650193,0,11130,4154000,156056
1984,WA,1883910,1051670,10,807352,0,14373,4343000,193278
1988,WA,1865253,903835,0,933516,10,17613,4639000,146584
1992,WA,2288230,993037,11,731234,0,22237,5139000,190412
1996,WA,2253837,1123323,11,840712,0,25898,5509000,170837
2000,WA,2487433,1108864,0,1247652,11,32723,5910000,157764
2004,WA,2859084,1304894,0,1510201,11,36378,6178000,200680
2008,WA,3036878,1750848,11,1229216,0,44241,6562000,183759
2012,WA,3125516,1755396,12,1290670,0,47357,6898000,265508
2016,WA,3209214,1742718,12,1221747,0,55038,7299000,190045
2020,WA,4087631,2369612,12,1584651,0,67126,7718000,157051
1976,WI,2104175,1040232,11,1004987,0,6676,4595000,117895
1980,WI,2273221,1088845,11,981584,0,10034,4712000,172888
1984,WI,2211689,1198584,11,995740,0,13285,4735000,174663
1988,WI,2191608,1047499,0,1126794,11,16269,4822000,111705
1992,WI,2531114,1041066,11,930855,0,20179,5004000,137370
1996,WI,2196169,1071971,11,845029,0,24129,5173000,105066
2000,WI,2598607,1237279,0,1242987,11,29556,5373000,101225
2004,WI,2997007,1478120,0,1489504,10,33424,5514000,151011
2008,WI,2983417,1677211,10,1262393,0,39055,5640000,154545
2012,WI,3071434,1620985,10,1410966,0,43043,5720000,212759
2016,WI,2976150,1382536,0,1405284,10,47509,5775000,121821
2020,WI,3298041,1630866,10,1610184,0,55593,5892000,102166
1976,WV,750964,435914,6,314760,0,5455,1879000,51036
1980,WV,737715,334206,0,367462,6,8011,1951000,78055
1984,WV,735742,405483,6,328125,0,10344,1927000,106949
1988,WV,653311,310065,0,341016,5,12697,1830000,73685
1992,WV,683762,331001,5,241974,0,16277,1805000,88392
1996,WV,636459,327812,5,233946,0,18767,1818000,60448
2000,WV,648124,336475,5,295497,0,22317,1807000,44619
2004,WV,755887,423778,5,326541,0,25687,1816000,45459
2008,WV,713362,303857,0,397466,5,31607,1840000,38244
2012,WV,670438,238269,0,417655,5,35478,1857000,58541
2016,WV,713051,188794,0,489371,5,37453,1832000,47900
2020,WV,794652,235984,0,545382,5,44994,1789000,40305
1976,WY,156343,62239,0,92717,3,7309,396000,6962
1980,WY,176713,110700,3,49427,0,11612,474000,9022
1984,WY,188968,133241,3,53370,0,13581,504000,16068
1988,WY,176551,106867,3,67113,0,15056,465000,15410
1992,WY,200598,68160,0,79347,3,19583,463000,12946
1996,WY,211571,77934,0,105388,3,22693,480000,12742
2000,WY,218351,147947,3,60481,0,29607,494000,9973
2004,WY,243428,167629,3,70776,0,36065,509000,10523
2008,WY,256035,82868,0,164958,3,49746,546000,8726
2012,WY,249061,69286,0,170962,3,54104,576000,16660
2016,WY,255849,55973,0,174419,3,54522,585000,16014
2020,WY,276765,73491,0,193559,3,61855,577000,13280
