Year,State,Income
2008,MS,30785
2012,MS,33632
2016,MS,35946
2020,MS,42129
1976,MT,6337
1980,MT,9142
1984,MT,11698
1988,MT,13356
1992,MT,16971
1996,MT,19411
2000,MT,23081
2004,MT,28131
2008,MT,35792
2012,MT,40750
2016,MT,44211
2020,MT,53361
1976,NC,5745
1980,NC,8348
1984,NC,11863
1988,NC,15522
1992,NC,19236
1996,NC,23040
2000,NC,27510
2004,NC,30635
2008,NC,37835
2012,NC,38984
2016,NC,42574
2020,NC,50305
1976,ND,6357
1980,ND,8053
1984,ND,12429
1988,ND,12920
1992,ND,17849
1996,ND,21627
2000,ND,25892
2004,ND,30107
2008,ND,41075
2012,ND,56671
2016,ND,52592
2020,ND,61530
1976,NE,6597
1980,NE,9386
1984,NE,13354
1988,NE,16371
1992,NE,19984
1996,NE,24371
2000,NE,29039
2004,NE,33627
2008,NE,40535
2012,NE,46801
2016,NE,49745
2020,NE,57570
1976,NH,6418
1980,NH,10039
1984,NH,14717
1988,NH,19696
1992,NH,22337
1996,NH,26339
2000,NH,35335
2004,NH,39434
2008,NH,45886
2012,NH,51224
2016,NH,56629
2020,NH,67097
1976,NJ,7817
1980,NJ,11801
1984,NJ,16708
1988,NJ,22120
1992,NJ,26713
1996,NJ,31052
2000,NJ,39216
2004,NJ,42876
2008,NJ,51779
2012,NJ,55115
2016,NJ,62213
2020,NJ,73460
1976,NM,5846
1980,NM,8647
1984,NM,11626
1988,NM,13689
1992,NM,16800
1996,NM,19826
2000,NM,23102
2004,NM,27399
2008,NM,33649
2012,NM,35793
2016,NM,38907
2020,NM,46338
1976,NV,7994
1980,NV,11951
1984,NV,14760
1988,NV,18458
1992,NV,22554
1996,NV,26667
2000,NV,31986
2004,NV,35232
2008,NV,38836
2012,NV,39840
2016,NV,45232
2020,NV,53720
1976,NY,7510
1980,NY,11001
1984,NY,15749
1988,NY,20827
1992,NY,25061
1996,NY,28936
2000,NY,36090
2004,NY,39329
2008,NY,48184
2012,NY,53599
2016,NY,60833
2020,NY,74472
1976,OH,6752
1980,OH,9924
1984,OH,13286
1988,OH,16508
1992,OH,20056
1996,OH,23762
2000,OH,28598
2004,OH,31660
2008,OH,36827
2012,OH,40837
2016,OH,45452
2020,OH,53641
1976,OK,6145
1980,OK,9629
1984,OK,12761
1988,OK,14405
1992,OK,17399
1996,OK,20126
2000,OK,24178
2004,OK,29264
2008,OK,39325
2012,OK,42188
2016,OK,42399
2020,OK,49878
1976,OR,7091
1980,OR,10234
1984,OR,12970
1988,OR,15969
1992,OR,19546
1996,OR,23974
2000,OR,28386
2004,OR,30996
2008,OR,36992
2012,OR,39370
2016,OR,45998
2020,OR,56312
1976,PA,6838
1980,PA,10034
1984,PA,13455
1988,PA,17150
1992,PA,21250
1996,PA,24743
2000,PA,30443
2004,PA,34984
2008,PA,41728
2012,PA,46022
2016,PA,51700
2020,PA,61700
1976,RI,6600
1980,RI,9898
1984,RI,13911
1988,RI,18305
1992,RI,21329
1996,RI,24657
2000,RI,30417
2004,RI,35927
2008,RI,41638
2012,RI,45978
